gene,jw_id,medium,n_replicates
rph,JW3618,M63,3
rpiA,JW5475,LB,3
rpiA,JW5475,M63,3
rpiB,JW4051,LB,3
rpiB,JW4051,M63,3
rpiR,JW4050,LB,3
rpiR,JW4050,M63,3
rplA,JW3947,LB,3
rplA,JW3947,M63,3
rplI,JW4161,LB,3
rplI,JW4161,M63,3
rplK,JW3946,LB,3
rplK,JW3946,M63,3
rplY,JW2173,LB,3
rplY,JW2173,M63,3
rpmE,JW3907,LB,3
rpmE,JW3907,M63,3
rpmF,JW1075,LB,3
rpmF,JW1075,M63,3
rpmG,JW3611,LB,3
rpmG,JW3611,M63,3
rpmI,JW1707,LB,3
rpmI,JW1707,M63,3
rpmJ,JW3261,LB,3
rpmJ,JW3261,M63,3
rpoD,JW3039,LB,3
rpoD,JW3039,M63,3
rpoN,JW3169,LB,3
rpoN,JW3169,M63,3
rpoS,JW5437,LB,3
rpoS,JW5437,M63,3
rpoZ,JW3624,LB,3
rpoZ,JW3624,M63,3
rpsF,JW4158,LB,3
rpsF,JW4158,M63,3
rpsO,JW3134,LB,3
rpsO,JW3134,M63,3
rpsT,JW0022,LB,3
rpsT,JW0022,M63,3
rpsU,JW3037,LB,3
rpsU,JW3037,M63,3
rraA,JW3900,LB,3
rraA,JW3900,M63,3
rrmA,JW1811,LB,3
rrmA,JW1811,M63,3
rrmJ,JW3146,LB,3
rrmJ,JW3146,M63,3
rsd,JW3959,LB,3
rsd,JW3959,M63,3
rseA,JW2556,LB,3
rseA,JW2556,M63,3
rseB,JW2555,LB,3
rseB,JW2555,M63,3
rseC,JW2554,LB,3
rseC,JW2554,M63,3
rsgA,JW4122,LB,3
rsgA,JW4122,M63,3
rsmB,JW3250,LB,3
rsmB,JW3250,M63,3
rsmC,JW4333,LB,3
rsmC,JW4333,M63,3
rspA,JW1573,LB,3
rspA,JW1573,M63,3
rspB,JW1572,LB,3
rspB,JW1572,M63,3
rssA,JW1222,LB,3
rssA,JW1222,M63,3
rssB,JW1223,LB,3
rssB,JW1223,M63,3
rstA,JW1600,LB,3
rstA,JW1600,M63,3
rstB,JW1601,LB,3
rstB,JW1601,M63,3
rsuA,JW2171,LB,3
rsuA,JW2171,M63,3
rsxA,JW1619,LB,3
rsxA,JW1619,M63,3
rsxB,JW1620,LB,3
rsxB,JW1620,M63,3
rsxC,JW1621,LB,3
rsxC,JW1621,M63,3
rsxD,JW1622,LB,3
rsxD,JW1622,M63,3
rsxE,JW1624,LB,3
rsxE,JW1624,M63,3
rsxG,JW1623,LB,3
rsxG,JW1623,M63,3
rtcA,JW5688,LB,3
rtcA,JW5688,M63,3
rtcB,JW3384,LB,3
rtcB,JW3384,M63,3
rtcR,JW3385,LB,3
rtcR,JW3385,M63,3
rtn,JW2164,LB,3
rtn,JW2164,M63,3
rumA,JW2756,LB,3
rumA,JW2756,M63,3
rumB,JW0843,LB,3
rumB,JW0843,M63,3
rusA,JW0538,LB,3
rusA,JW0538,M63,3
ruvA,JW1850,LB,3
ruvA,JW1850,M63,3
ruvB,JW1849,LB,3
ruvB,JW1849,M63,3
ruvC,JW1852,LB,3
ruvC,JW1852,M63,3
rzoD,JW5080,LB,3
rzoD,JW5080,M63,3
rzoR,JW5213,LB,3
rzoR,JW5213,M63,3
rzpD,JW5079,LB,3
rzpD,JW5079,M63,3
rzpR,JW5212,LB,3
rzpR,JW5212,M63,3
sanA,JW2132,LB,3
sanA,JW2132,M63,3
sapA,JW1287,LB,3
sapA,JW1287,M63,3
sapB,JW1286,LB,3
sapB,JW1286,M63,3
sapC,JW1285,LB,3
sapC,JW1285,M63,3
sapD,JW1284,LB,3
sapD,JW1284,M63,3
sapF,JW1283,LB,3
sapF,JW1283,M63,3
sbcB,JW1993,LB,3
sbcB,JW1993,M63,3
sbcC,JW0387,LB,3
sbcC,JW0387,M63,3
