gene,jw_id,medium,n_replicates
wzb,JW2046,LB,3
wzb,JW2046,M63,3
wzc,JW2045,LB,3
wzc,JW2045,M63,3
wzxC,JW2031,LB,3
wzxC,JW2031,M63,3
wzxE,JW3766,LB,3
wzxE,JW3766,M63,3
wzzE,JW5601,LB,3
wzzE,JW5601,M63,3
xapA,JW2398,LB,3
xapA,JW2398,M63,3
xapB,JW2397,LB,3
xapB,JW2397,M63,3
xapR,JW2396,LB,3
xapR,JW2396,M63,3
xdhA,JW5462,LB,3
xdhA,JW5462,M63,3
xdhB,JW2835,LB,3
xdhB,JW2835,M63,3
xdhC,JW2836,LB,3
xdhC,JW2836,M63,3
xdhD,JW2849,LB,3
xdhD,JW2849,M63,3
xerC,JW3784,LB,3
xerC,JW3784,M63,3
xerD,JW2862,LB,3
xerD,JW2862,M63,3
xseA,JW2493,LB,3
xseA,JW2493,M63,3
xseB,JW0412,LB,3
xseB,JW0412,M63,3
xthA,JW1738,LB,3
xthA,JW1738,M63,3
xylA,JW3537,LB,3
xylA,JW3537,M63,3
xylB,JW3536,LB,3
xylB,JW3536,M63,3
xylE,JW3991,LB,3
xylE,JW3991,M63,3
xylF,JW3538,LB,3
xylF,JW3538,M63,3
xylG,JW3539,LB,3
xylG,JW3539,M63,3
xylH,JW3540,LB,3
xylH,JW3540,M63,3
xylR,JW3541,LB,3
xylR,JW3541,M63,3
yaaA,JW0005,LB,3
yaaA,JW0005,M63,3
yaaH,JW0009,LB,3
yaaH,JW0009,M63,3
yaaI,JW0012,LB,3
yaaI,JW0012,M63,3
yaaJ,JW0006,LB,3
yaaJ,JW0006,M63,3
yaaU,JW0044,LB,3
yaaU,JW0044,M63,3
yaaW,JW0010,LB,3
yaaW,JW0010,M63,3
yaaX,JW0004,LB,3
yaaX,JW0004,M63,3
yaaY,JW5003,LB,3
yaaY,JW5003,M63,3
yabI,JW5005,LB,3
yabI,JW5005,M63,3
yabP,JW0055,LB,3
yabP,JW0055,M63,3
yacC,JW0118,LB,3
yacC,JW0118,M63,3
yacF,JW0099,LB,3
yacF,JW0099,M63,3
yacG,JW5008,LB,3
yacG,JW5008,M63,3
yacH,JW0113,LB,3
yacH,JW0113,M63,3
yacL,JW0115,LB,3
yacL,JW0115,M63,3
yadB,JW5892,LB,3
yadB,JW5892,M63,3
yadC,JW0131,LB,3
yadC,JW0131,M63,3
yadD,JW5010,LB,3
yadD,JW5010,M63,3
yadE,JW0126,LB,3
yadE,JW0126,M63,3
yadG,JW0123,LB,3
yadG,JW0123,M63,3
yadH,JW0124,LB,3
yadH,JW0124,M63,3
yadI,JW0125,LB,3
yadI,JW0125,M63,3
yadK,JW0132,LB,3
yadK,JW0132,M63,3
yadL,JW0133,LB,3
yadL,JW0133,M63,3
yadM,JW0134,LB,3
yadM,JW0134,M63,3
yadN,JW0137,LB,3
yadN,JW0137,M63,3
yadS,JW0153,LB,3
yadS,JW0153,M63,3
yaeB,JW0191,LB,3
yaeB,JW0191,M63,3
yaeF,JW5016,LB,3
yaeF,JW5016,M63,3
yaeH,JW0159,LB,3
yaeH,JW0159,M63,3
yaeI,JW5014,LB,3
yaeI,JW5014,M63,3
yaeJ,JW0187,LB,3
yaeJ,JW0187,M63,3
yaeP,JW0185,LB,3
yaeP,JW0185,M63,3
yaeQ,JW0186,LB,3
yaeQ,JW0186,M63,3
yaeR,JW0182,LB,3
yaeR,JW0182,M63,3
yafC,JW0198,LB,3
yafC,JW0198,M63,3
yafD,JW5017,LB,3
yafD,JW5017,M63,3
yafE,JW0200,LB,3
yafE,JW0200,M63,3
yafJ,JW0213,LB,3
yafJ,JW0213,M63,3
yafK,JW0214,LB,3
yafK,JW0214,M63,3
yafL,JW0217,LB,3
yafL,JW0217,M63,3
yafM,JW0218,LB,3
yafM,JW0218,M63,3
yafN,JW0222,LB,3
yafN,JW0222,M63,3
yafO,JW0223,LB,3
yafO,JW0223,M63,3
yafP,JW0224,LB,3
yafP,JW0224,M63,3
yafQ,JW0215,LB,3
yafQ,JW0215,M63,3
yafS,JW0203,LB,3
yafS,JW0203,M63,3
yafT,JW0206,LB,3
yafT,JW0206,M63,3
yafU,JW0207,LB,3
yafU,JW0207,M63,3
yafV,JW5019,LB,3
yafV,JW5019,M63,3
yafW,JW0235,LB,3
yafW,JW0235,M63,3
yafX,JW5022,LB,3
yafX,JW5022,M63,3
yafY,JW0240,LB,3
yafY,JW0240,M63,3
yafZ,JW0242,LB,3
yafZ,JW0242,M63,3
yagA,JW0260,LB,3
yagA,JW0260,M63,3
yagB,JW0259,LB,3
yagB,JW0259,M63,3
yagE,JW0261,LB,3
yagE,JW0261,M63,3
yagF,JW0262,LB,3
yagF,JW0262,M63,3
yagH,JW0264,LB,3
yagH,JW0264,M63,3
yagI,JW0265,LB,3
yagI,JW0265,M63,3
yagJ,JW0270,LB,3
yagJ,JW0270,M63,3
yagK,JW0271,LB,3
yagK,JW0271,M63,3
yagL,JW0272,LB,3
yagL,JW0272,M63,3
yagM,JW0273,LB,3
yagM,JW0273,M63,3
yagN,JW0274,LB,3
yagN,JW0274,M63,3
yagP,JW0276,LB,3
yagP,JW0276,M63,3
yagQ,JW0277,LB,3
yagQ,JW0277,M63,3
yagR,JW0278,LB,3
yagR,JW0278,M63,3
yagS,JW0279,LB,3
yagS,JW0279,M63,3
yagT,JW0280,LB,3
yagT,JW0280,M63,3
yagU,JW0281,LB,3
yagU,JW0281,M63,3
yagV,JW5030,LB,3
yagV,JW5030,M63,3
yagW,JW0284,LB,3
yagW,JW0284,M63,3
yagX,JW0285,LB,3
yagX,JW0285,M63,3
yagY,JW0286,LB,3
yagY,JW0286,M63,3
yagZ,JW0287,LB,3
yagZ,JW0287,M63,3
yahA,JW0307,LB,3
yahA,JW0307,M63,3
yahB,JW0308,LB,3
yahB,JW0308,M63,3
yahC,JW0309,LB,3
yahC,JW0309,M63,3
yahD,JW0310,LB,3
yahD,JW0310,M63,3
yahE,JW0311,LB,3
yahE,JW0311,M63,3
yahF,JW0312,LB,3
yahF,JW0312,M63,3
yahG,JW0313,LB,3
yahG,JW0313,M63,3
yahH,JW5893,LB,3
yahH,JW5893,M63,3
yahI,JW0315,LB,3
yahI,JW0315,M63,3
yahJ,JW0316,LB,3
yahJ,JW0316,M63,3
yahK,JW0317,LB,3
yahK,JW0317,M63,3
yahL,JW0318,LB,3
yahL,JW0318,M63,3
yahM,JW5044,LB,3
yahM,JW5044,M63,3
yahN,JW0320,LB,3
yahN,JW0320,M63,3
yahO,JW0321,LB,3
yahO,JW0321,M63,3
yaiA,JW0380,LB,3
yaiA,JW0380,M63,3
yaiB,JW0373,LB,3
yaiB,JW0373,M63,3
yaiC,JW0376,LB,3
yaiC,JW0376,M63,3
yaiE,JW0382,LB,3
yaiE,JW0382,M63,3
yaiF,JW5814,LB,3
yaiF,JW5814,M63,3
yaiI,JW0378,LB,3
yaiI,JW0378,M63,3
yaiL,JW0345,LB,3
yaiL,JW0345,M63,3
yaiO,JW0349,LB,3
yaiO,JW0349,M63,3
yaiP,JW0355,LB,3
yaiP,JW0355,M63,3
yaiS,JW0356,LB,3
yaiS,JW0356,M63,3
yaiT,JW0362,LB,3
yaiT,JW0362,M63,3
yaiU,JW5051,LB,3
yaiU,JW5051,M63,3
yaiV,JW0366,LB,3
yaiV,JW0366,M63,3
yaiW,JW0369,LB,3
yaiW,JW0369,M63,3
yaiX,JW0350,LB,3
yaiX,JW0350,M63,3
yaiY,JW0370,LB,3
yaiY,JW0370,M63,3
yaiZ,JW5053,LB,3
yaiZ,JW5053,M63,3
yajB,JW0394,LB,3
yajB,JW0394,M63,3
yajC,JW0397,LB,3
yajC,JW0397,M63,3
yajD,JW0400,LB,3
yajD,JW0400,M63,3
yajG,JW0424,LB,3
yajG,JW0424,M63,3
yajI,JW5056,LB,3
yajI,JW5056,M63,3
yajL,JW5057,LB,3
yajL,JW5057,M63,3
yajO,JW0409,LB,3
yajO,JW0409,M63,3
yajQ,JW5058,LB,3
yajQ,JW5058,M63,3
yajR,JW5059,LB,3
yajR,JW5059,M63,3
ybaA,JW0445,LB,3
ybaA,JW0445,M63,3
ybaB,JW0460,LB,3
ybaB,JW0460,M63,3
ybaD,JW0403,LB,3
ybaD,JW0403,M63,3
ybaE,JW0435,LB,3
ybaE,JW0435,M63,3
ybaJ,JW0450,LB,3
ybaJ,JW0450,M63,3
ybaK,JW0470,LB,3
ybaK,JW0470,M63,3
ybaL,JW0467,LB,3
ybaL,JW0467,M63,3
ybaM,JW0455,LB,3
ybaM,JW0455,M63,3
ybaN,JW0457,LB,3
ybaN,JW0457,M63,3
ybaO,JW0437,LB,3
ybaO,JW0437,M63,3
ybaP,JW0471,LB,3
ybaP,JW0471,M63,3
ybaQ,JW0472,LB,3
ybaQ,JW0472,M63,3
ybaS,JW0474,LB,3
ybaS,JW0474,M63,3
ybaT,JW0475,LB,3
ybaT,JW0475,M63,3
ybaV,JW0432,LB,3
ybaV,JW0432,M63,3
ybaW,JW0433,LB,3
ybaW,JW0433,M63,3
ybaX,JW0434,LB,3
ybaX,JW0434,M63,3
ybaY,JW0443,LB,3
ybaY,JW0443,M63,3
ybaZ,JW0444,LB,3
ybaZ,JW0444,M63,3
ybbA,JW0484,LB,3
ybbA,JW0484,M63,3
ybbB,JW0491,LB,3
ybbB,JW0491,M63,3
ybbC,JW0487,LB,3
ybbC,JW0487,M63,3
ybbD,JW0489,LB,3
ybbD,JW0489,M63,3
ybbJ,JW5065,LB,3
ybbJ,JW5065,M63,3
ybbK,JW0478,LB,3
ybbK,JW0478,M63,3
ybbL,JW0479,LB,3
ybbL,JW0479,M63,3
ybbM,JW5066,LB,3
ybbM,JW5066,M63,3
ybbN,JW5067,LB,3
ybbN,JW5067,M63,3
ybbO,JW0482,LB,3
ybbO,JW0482,M63,3
ybbP,JW0485,LB,3
ybbP,JW0485,M63,3
ybbS,JW0492,LB,3
ybbS,JW0492,M63,3
ybbV,JW0498,LB,3
ybbV,JW0498,M63,3
ybbW,JW0499,LB,3
ybbW,JW0499,M63,3
ybbY,JW0501,LB,3
ybbY,JW0501,M63,3
ybcC,JW0526,LB,3
ybcC,JW0526,M63,3
ybcD,JW0527,LB,3
ybcD,JW0527,M63,3
ybcF,JW0510,LB,3
ybcF,JW0510,M63,3
ybcH,JW0556,LB,3
ybcH,JW0556,M63,3
ybcI,JW0516,LB,3
ybcI,JW0516,M63,3
ybcJ,JW5070,LB,3
ybcJ,JW5070,M63,3
ybcK,JW0532,LB,3
ybcK,JW0532,M63,3
ybcL,JW0533,LB,3
ybcL,JW0533,M63,3
ybcM,JW0534,LB,3
ybcM,JW0534,M63,3
ybcN,JW0535,LB,3
ybcN,JW0535,M63,3
ybcO,JW0537,LB,3
ybcO,JW0537,M63,3
ybcQ,JW0539,LB,3
ybcQ,JW0539,M63,3
ybcS,JW0544,LB,3
ybcS,JW0544,M63,3
ybcV,JW5081,LB,3
ybcV,JW5081,M63,3
ybcW,JW0548,LB,3
ybcW,JW0548,M63,3
ybcY,JW0551,LB,3
ybcY,JW0551,M63,3
ybdA,JW0583,LB,3
ybdA,JW0583,M63,3
ybdB,JW0589,LB,3
ybdB,JW0589,M63,3
ybdD,JW0591,LB,3
ybdD,JW0591,M63,3
ybdF,JW5083,LB,3
ybdF,JW5083,M63,3
ybdG,JW0566,LB,3
ybdG,JW0566,M63,3
ybdH,JW0592,LB,3
ybdH,JW0592,M63,3
ybdJ,JW0569,LB,3
ybdJ,JW0569,M63,3
ybdK,JW0570,LB,3
ybdK,JW0570,M63,3
ybdL,JW0593,LB,3
ybdL,JW0593,M63,3
ybdM,JW0594,LB,3
ybdM,JW0594,M63,3
ybdN,JW0595,LB,3
ybdN,JW0595,M63,3
ybdO,JW0596,LB,3
ybdO,JW0596,M63,3
ybdR,JW0601,LB,3
ybdR,JW0601,M63,3
ybdZ,JW0577,LB,3
ybdZ,JW0577,M63,3
ybeA,JW0631,LB,3
ybeA,JW0631,M63,3
ybeB,JW5090,LB,3
ybeB,JW5090,M63,3
ybeD,JW0626,LB,3
ybeD,JW0626,M63,3
ybeF,JW0624,LB,3
ybeF,JW0624,M63,3
ybeH,JW0620,LB,3
ybeH,JW0620,M63,3
ybeL,JW0638,LB,3
ybeL,JW0638,M63,3
ybeM,JW0621,LB,3
ybeM,JW0621,M63,3
ybeQ,JW5091,LB,3
ybeQ,JW5091,M63,3
ybeR,JW0640,LB,3
ybeR,JW0640,M63,3
ybeT,JW0642,LB,3
ybeT,JW0642,M63,3
ybeU,JW0643,LB,3
ybeU,JW0643,M63,3
ybeX,JW0655,LB,3
ybeX,JW0655,M63,3
ybeY,JW0656,LB,3
ybeY,JW0656,M63,3
ybeZ,JW0657,LB,3
ybeZ,JW0657,M63,3
ybfA,JW0688,LB,3
ybfA,JW0688,M63,3
ybfB,JW0691,LB,3
ybfB,JW0691,M63,3
ybfC,JW0693,LB,3
ybfC,JW0693,M63,3
ybfD,JW0696,LB,3
ybfD,JW0696,M63,3
ybfE,JW5816,LB,3
ybfE,JW5816,M63,3
ybfF,JW0673,LB,3
ybfF,JW0673,M63,3
ybfG,JW5094,LB,3
ybfG,JW5094,M63,3
ybfH,JW5095,LB,3
ybfH,JW5095,M63,3
ybfL,JW0695,LB,3
ybfL,JW0695,M63,3
ybfM,JW0667,LB,3
ybfM,JW0667,M63,3
ybfN,JW0668,LB,3
ybfN,JW0668,M63,3
ybfO,JW0692,LB,3
ybfO,JW0692,M63,3
ybfP,JW0676,LB,3
ybfP,JW0676,M63,3
ybfQ,JW0694,LB,3
ybfQ,JW0694,M63,3
ybgA,JW0697,LB,3
ybgA,JW0697,M63,3
ybgC,JW0726,LB,3
ybgC,JW0726,M63,3
ybgD,JW0709,LB,3
ybgD,JW0709,M63,3
ybgE,JW0725,LB,3
ybgE,JW0725,M63,3
ybgF,JW0732,LB,3
ybgF,JW0732,M63,3
ybgH,JW0699,LB,3
ybgH,JW0699,M63,3
ybgI,JW0700,LB,3
ybgI,JW0700,M63,3
ybgJ,JW0701,LB,3
ybgJ,JW0701,M63,3
ybgK,JW0702,LB,3
ybgK,JW0702,M63,3
ybgL,JW0703,LB,3
ybgL,JW0703,M63,3
ybgO,JW5098,LB,3
ybgO,JW5098,M63,3
ybgP,JW0707,LB,3
ybgP,JW0707,M63,3
ybgQ,JW5099,LB,3
ybgQ,JW5099,M63,3
ybgS,JW0736,LB,3
ybgS,JW0736,M63,3
ybgT,JW0724,LB,3
ybgT,JW0724,M63,3
ybhA,JW0749,LB,3
ybhA,JW0749,M63,3
ybhB,JW0756,LB,3
ybhB,JW0756,M63,3
ybhC,JW0755,LB,3
ybhC,JW0755,M63,3
ybhD,JW5896,LB,3
ybhD,JW5896,M63,3
ybhE,JW0750,LB,3
ybhE,JW0750,M63,3
ybhF,JW5104,LB,3
ybhF,JW5104,M63,3
ybhG,JW0779,LB,3
ybhG,JW0779,M63,3
ybhH,JW0752,LB,3
ybhH,JW0752,M63,3
ybhI,JW0753,LB,3
ybhI,JW0753,M63,3
ybhJ,JW5103,LB,3
ybhJ,JW5103,M63,3
ybhK,JW0763,LB,3
ybhK,JW0763,M63,3
ybhL,JW0769,LB,3
ybhL,JW0769,M63,3
ybhM,JW0770,LB,3
ybhM,JW0770,M63,3
ybhN,JW0771,LB,3
ybhN,JW0771,M63,3
ybhO,JW0772,LB,3
ybhO,JW0772,M63,3
ybhP,JW0773,LB,3
ybhP,JW0773,M63,3
ybhQ,JW0774,LB,3
ybhQ,JW0774,M63,3
ybhR,JW5803,LB,3
ybhR,JW5803,M63,3
ybhS,JW0777,LB,3
ybhS,JW0777,M63,3
ybhT,JW5102,LB,3
ybhT,JW5102,M63,3
ybiA,JW0783,LB,3
ybiA,JW0783,M63,3
ybiB,JW0785,LB,3
ybiB,JW0785,M63,3
ybiC,JW0786,LB,3
ybiC,JW0786,M63,3
ybiH,JW0780,LB,3
ybiH,JW0780,M63,3
ybiI,JW0788,LB,3
ybiI,JW0788,M63,3
ybiJ,JW0787,LB,3
ybiJ,JW0787,M63,3
ybiM,JW5106,LB,3
ybiM,JW5106,M63,3
ybiN,JW5107,LB,3
ybiN,JW5107,M63,3
ybiO,JW5108,LB,3
ybiO,JW5108,M63,3
ybiP,JW0800,LB,3
ybiP,JW0800,M63,3
ybiR,JW0802,LB,3
ybiR,JW0802,M63,3
ybiS,JW0803,LB,3
ybiS,JW0803,M63,3
ybiT,JW0804,LB,3
ybiT,JW0804,M63,3
ybiU,JW0805,LB,3
ybiU,JW0805,M63,3
ybiV,JW0806,LB,3
ybiV,JW0806,M63,3
ybiW,JW0807,LB,3
ybiW,JW0807,M63,3
ybiX,JW5105,LB,3
ybiX,JW5105,M63,3
ybiY,JW0808,LB,3
ybiY,JW0808,M63,3
ybjC,JW0834,LB,3
ybjC,JW0834,M63,3
ybjD,JW0860,LB,3
ybjD,JW0860,M63,3
ybjE,JW0858,LB,3
ybjE,JW0858,M63,3
ybjG,JW5112,LB,3
ybjG,JW5112,M63,3
ybjH,JW0827,LB,3
ybjH,JW0827,M63,3
ybjI,JW5113,LB,3
ybjI,JW5113,M63,3
ybjJ,JW0829,LB,3
ybjJ,JW0829,M63,3
ybjK,JW5114,LB,3
ybjK,JW5114,M63,3
ybjL,JW0831,LB,3
ybjL,JW0831,M63,3
ybjM,JW0832,LB,3
ybjM,JW0832,M63,3
ybjN,JW0837,LB,3
ybjN,JW0837,M63,3
ybjO,JW0842,LB,3
ybjO,JW0842,M63,3
ybjP,JW0849,LB,3
ybjP,JW0849,M63,3
ybjQ,JW0850,LB,3
ybjQ,JW0850,M63,3
ybjR,JW0851,LB,3
ybjR,JW0851,M63,3
ybjS,JW5819,LB,3
ybjS,JW5819,M63,3
ybjT,JW5116,LB,3
ybjT,JW5116,M63,3
ybjX,JW0861,LB,3
ybjX,JW0861,M63,3
ycaC,JW0880,LB,3
ycaC,JW0880,M63,3
ycaD,JW0881,LB,3
ycaD,JW0881,M63,3
ycaI,JW5120,LB,3
ycaI,JW5120,M63,3
ycaJ,JW0875,LB,3
ycaJ,JW0875,M63,3
ycaK,JW0884,LB,3
ycaK,JW0884,M63,3
ycaL,JW0892,LB,3
ycaL,JW0892,M63,3
ycaM,JW5119,LB,3
ycaM,JW5119,M63,3
ycaN,JW0883,LB,3
ycaN,JW0883,M63,3
ycaO,JW0888,LB,3
ycaO,JW0888,M63,3
ycaP,JW0889,LB,3
ycaP,JW0889,M63,3
ycaQ,JW0899,LB,3
ycaQ,JW0899,M63,3
ycaR,JW0900,LB,3
ycaR,JW0900,M63,3
ycbB,JW0908,LB,3
ycbB,JW0908,M63,3
ycbC,JW0903,LB,3
ycbC,JW0903,M63,3
ycbF,JW5124,LB,3
ycbF,JW5124,M63,3
ycbG,JW0939,LB,3
ycbG,JW0939,M63,3
ycbJ,JW0902,LB,3
ycbJ,JW0902,M63,3
ycbK,JW0909,LB,3
ycbK,JW0909,M63,3
ycbL,JW0910,LB,3
ycbL,JW0910,M63,3
ycbQ,JW5122,LB,3
ycbQ,JW5122,M63,3
ycbR,JW0922,LB,3
ycbR,JW0922,M63,3
ycbS,JW0923,LB,3
ycbS,JW0923,M63,3
ycbT,JW0924,LB,3
ycbT,JW0924,M63,3
ycbU,JW0925,LB,3
ycbU,JW0925,M63,3
ycbV,JW5123,LB,3
ycbV,JW5123,M63,3
ycbW,JW5125,LB,3
ycbW,JW5125,M63,3
ycbX,JW5126,LB,3
ycbX,JW5126,M63,3
ycbY,JW0931,LB,3
ycbY,JW0931,M63,3
ycbZ,JW0938,LB,3
ycbZ,JW0938,M63,3
yccA,JW0953,LB,3
yccA,JW0953,M63,3
yccC,JW0964,LB,3
yccC,JW0964,M63,3
yccE,JW0986,LB,3
yccE,JW0986,M63,3
yccF,JW0944,LB,3
yccF,JW0944,M63,3
yccJ,JW0988,LB,3
yccJ,JW0988,M63,3
yccK,JW0952,LB,3
yccK,JW0952,M63,3
yccM,JW0977,LB,3
yccM,JW0977,M63,3
yccR,JW0942,LB,3
yccR,JW0942,M63,3
yccS,JW5128,LB,3
yccS,JW5128,M63,3
yccT,JW0947,LB,3
yccT,JW0947,M63,3
yccU,JW5130,LB,3
yccU,JW5130,M63,3
yccV,JW5970,LB,3
yccV,JW5970,M63,3
yccW,JW5898,LB,3
yccW,JW5898,M63,3
yccX,JW5131,LB,3
yccX,JW5131,M63,3
yccZ,JW0966,LB,3
yccZ,JW0966,M63,3
ycdB,JW1004,LB,3
ycdB,JW1004,M63,3
ycdC,JW0998,LB,3
ycdC,JW0998,M63,3
ycdG,JW5137,LB,3
ycdG,JW5137,M63,3
ycdH,JW5138,LB,3
ycdH,JW5138,M63,3
ycdI,JW0993,LB,3
ycdI,JW0993,M63,3
ycdK,JW0995,LB,3
ycdK,JW0995,M63,3
ycdL,JW5139,LB,3
ycdL,JW5139,M63,3
ycdM,JW0997,LB,3
ycdM,JW0997,M63,3
ycdN,JW5141,LB,6
ycdN,JW5141,M63,6
ycdO,JW1003,LB,3
ycdO,JW1003,M63,3
ycdP,JW1006,LB,3
ycdP,JW1006,M63,3
ycdQ,JW1007,LB,3
ycdQ,JW1007,M63,3
ycdR,JW5142,LB,3
ycdR,JW5142,M63,3
ycdS,JW1010,LB,3
ycdS,JW1010,M63,3
ycdT,JW5143,LB,3
ycdT,JW5143,M63,3
ycdU,JW1015,LB,3
ycdU,JW1015,M63,3
ycdW,JW5146,LB,3
ycdW,JW5146,M63,3
ycdX,JW1017,LB,3
ycdX,JW1017,M63,3
ycdY,JW1018,LB,3
ycdY,JW1018,M63,3
ycdZ,JW5147,LB,3
ycdZ,JW5147,M63,3
yceA,JW1042,LB,3
yceA,JW1042,M63,3
yceB,JW1050,LB,3
yceB,JW1050,M63,3
yceD,JW1074,LB,3
yceD,JW1074,M63,3
yceF,JW5155,LB,3
yceF,JW5155,M63,3
yceG,JW1083,LB,3
yceG,JW1083,M63,3
yceH,JW1054,LB,3
yceH,JW1054,M63,3
yceI,JW1043,LB,3
yceI,JW1043,M63,3
yceJ,JW1044,LB,3
yceJ,JW1044,M63,3
yceK,JW5151,LB,3
yceK,JW5151,M63,3
yceO,JW1045,LB,3
yceO,JW1045,M63,3
yceP,JW5152,LB,3
yceP,JW5152,M63,3
ycfD,JW1114,LB,3
ycfD,JW1114,M63,3
ycfH,JW1086,LB,3
ycfH,JW1086,M63,3
ycfJ,JW1096,LB,3
ycfJ,JW1096,M63,3
ycfK,JW1140,LB,3
ycfK,JW1140,M63,3
ycfL,JW1090,LB,3
ycfL,JW1090,M63,3
ycfM,JW5157,LB,3
ycfM,JW5157,M63,3
ycfN,JW1092,LB,3
ycfN,JW1092,M63,3
ycfP,JW5158,LB,3
ycfP,JW5158,M63,3
ycfQ,JW5159,LB,3
ycfQ,JW5159,M63,3
ycfR,JW1098,LB,3
ycfR,JW1098,M63,3
ycfS,JW5820,LB,3
ycfS,JW5820,M63,3
ycfT,JW1101,LB,3
ycfT,JW1101,M63,3
ycfX,JW1105,LB,3
ycfX,JW1105,M63,3
ycfZ,JW1107,LB,3
ycfZ,JW1107,M63,3
ycgB,JW1177,LB,3
ycgB,JW1177,M63,3
ycgE,JW1149,LB,3
ycgE,JW1149,M63,3
ycgF,JW1150,LB,3
ycgF,JW1150,M63,3
ycgG,JW5174,LB,3
ycgG,JW5174,M63,3
ycgH,JW5901,LB,6
ycgH,JW5901,M63,6
ycgI,JW1162,LB,3
ycgI,JW1162,M63,3
ycgJ,JW1166,LB,3
ycgJ,JW1166,M63,3
ycgK,JW1167,LB,3
ycgK,JW1167,M63,3
ycgL,JW1168,LB,3
ycgL,JW1168,M63,3
ycgM,JW1169,LB,3
ycgM,JW1169,M63,3
ycgN,JW5180,LB,3
ycgN,JW5180,M63,3
ycgR,JW1183,LB,3
ycgR,JW1183,M63,3
ycgV,JW1193,LB,3
ycgV,JW1193,M63,3
ycgX,JW1148,LB,3
ycgX,JW1148,M63,3
ycgY,JW1185,LB,3
ycgY,JW1185,M63,3
ycgZ,JW1151,LB,3
ycgZ,JW1151,M63,3
ychA,JW1205,LB,3
ychA,JW1205,M63,3
ychE,JW1229,LB,3
ychE,JW1229,M63,3
ychF,JW1194,LB,3
ychF,JW1194,M63,3
ychH,JW1196,LB,3
ychH,JW1196,M63,3
ychJ,JW1221,LB,3
ychJ,JW1221,M63,3
ychM,JW5189,LB,3
ychM,JW5189,M63,3
ychN,JW1210,LB,3
ychN,JW1210,M63,3
ychP,JW1211,LB,3
ychP,JW1211,M63,3
ychQ,JW1204,LB,3
ychQ,JW1204,M63,3
yciA,JW1245,LB,3
yciA,JW1245,M63,3
yciB,JW1246,LB,3
yciB,JW1246,M63,3
yciC,JW1247,LB,3
yciC,JW1247,M63,3
yciE,JW1249,LB,3
yciE,JW1249,M63,3
yciF,JW1250,LB,3
yciF,JW1250,M63,3
yciG,JW1251,LB,3
yciG,JW1251,M63,3
yciH,JW1274,LB,3
yciH,JW1274,M63,3
yciI,JW1243,LB,3
yciI,JW1243,M63,3
yciK,JW1263,LB,3
yciK,JW1263,M63,3
yciM,JW1272,LB,3
yciM,JW1272,M63,3
yciN,JW1265,LB,3
yciN,JW1265,M63,3
yciO,JW5196,LB,3
yciO,JW5196,M63,3
yciQ,JW5197,LB,3
yciQ,JW5197,M63,3
yciS,JW1271,LB,3
yciS,JW1271,M63,3
yciT,JW1276,LB,3
yciT,JW1276,M63,3
yciU,JW1240,LB,3
yciU,JW1240,M63,3
yciV,JW1258,LB,3
yciV,JW1258,M63,3
yciW,JW5200,LB,3
yciW,JW5200,M63,3
yciX,JW5199,LB,6
yciX,JW5199,M63,6
ycjD,JW1282,LB,3
ycjD,JW1282,M63,3
ycjF,JW1315,LB,3
ycjF,JW1315,M63,3
ycjG,JW1318,LB,3
ycjG,JW1318,M63,3
ycjM,JW1302,LB,3
ycjM,JW1302,M63,3
ycjN,JW1303,LB,3
ycjN,JW1303,M63,3
ycjO,JW1304,LB,3
ycjO,JW1304,M63,3
ycjP,JW1305,LB,3
ycjP,JW1305,M63,3
ycjQ,JW1306,LB,3
ycjQ,JW1306,M63,3
ycjR,JW5202,LB,3
ycjR,JW5202,M63,3
ycjS,JW1308,LB,3
ycjS,JW1308,M63,3
ycjT,JW1309,LB,3
ycjT,JW1309,M63,3
ycjU,JW1310,LB,3
ycjU,JW1310,M63,3
ycjV,JW1311,LB,3
ycjV,JW1311,M63,3
ycjW,JW1313,LB,3
ycjW,JW1313,M63,3
ycjX,JW1314,LB,3
ycjX,JW1314,M63,3
ycjY,JW5804,LB,3
ycjY,JW5804,M63,3
ycjZ,JW1321,LB,3
ycjZ,JW1321,M63,3
ydaC,JW1341,LB,3
ydaC,JW1341,M63,3
ydaE,JW1346,LB,3
ydaE,JW1346,M63,3
ydaF,JW1349,LB,3
ydaF,JW1349,M63,3
ydaG,JW5210,LB,3
ydaG,JW5210,M63,3
ydaL,JW1334,LB,3
ydaL,JW1334,M63,3
ydaM,JW5206,LB,3
ydaM,JW5206,M63,3
ydaN,JW1336,LB,3
ydaN,JW1336,M63,3
ydaO,JW1338,LB,3
ydaO,JW1338,M63,3
ydaQ,JW5207,LB,3
ydaQ,JW5207,M63,3
ydaS,JW1352,LB,3
ydaS,JW1352,M63,3
ydaT,JW1353,LB,3
ydaT,JW1353,M63,3
ydaU,JW1354,LB,3
ydaU,JW1354,M63,3
ydaV,JW1355,LB,3
ydaV,JW1355,M63,3
ydaW,JW5211,LB,3
ydaW,JW5211,M63,3
ydaY,JW1360,LB,3
ydaY,JW1360,M63,3
ydbA,JW5802,LB,6
ydbA,JW5802,M63,6
ydbC,JW1403,LB,3
ydbC,JW1403,M63,3
ydbD,JW5221,LB,3
ydbD,JW5221,M63,3
ydbH,JW1376,LB,3
ydbH,JW1376,M63,3
